i,lambda0,lambda1,mu0,mu1,q01,q10,p
1,1,0.424410776982439,0.145610888493019,0.0120526577345695,0.136875396384222,0.0793988791152667,0.11404360089077,-185.45509516637
2,2,0.424734810806787,0.313689403500251,0.00918659780252541,0.0876403557586424,0.272086136426335,0.793645403177665,-179.829391226367
3,3,0.437541845606114,0.464384677908198,0.0292185346724319,0.251813897427245,0.248883523388576,0.764956447726391,-182.173523106927
4,4,0.280621181503965,0.62249352761998,0.0359933288903686,0.169934808199108,0.434129215700033,0.617596596298255,-179.493194319776
5,5,0.231193262134838,0.59457139052714,0.0607583240513804,0.23203744185444,0.305174316131253,0.784249183678892,-181.182484117542
6,6,0.239889639580323,0.738621834724683,0.0137564031463765,0.195529022163153,0.535669577510609,1.0287507404822,-179.687788413797
7,7,0.245344672745965,0.712062321507788,0.0135650122611025,0.0484752531073753,0.520560583350886,1.11775299632571,-179.447735449416
8,8,0.335449441556549,0.654563147633789,0.10849975507925,0.114180872089953,0.566048043629016,0.902663777049397,-179.914612519294
9,9,0.166928682229756,0.719584198458971,0.058516535245343,0.0906476773636177,0.377339229602461,0.90873155354079,-180.73415759228
10,10,0.21697372117374,0.809617476116092,0.267029142965285,0.171885873189111,0.501212528038112,0.923903157368514,-182.323407096768
11,11,0.283529918605886,0.584342095323408,0.0279526092130467,0.270552903130715,0.477055273205783,0.830844049897896,-179.402940756947
12,12,0.255834740467355,0.638825524620184,0.034928313831756,0.122972717420898,0.383880374079983,0.908385963666142,-179.098614137896
13,13,0.342651055005994,0.459931266775012,0.0288678902573206,0.0997135660828848,0.377648275212302,1.09584044204355,-179.447028284097
14,14,0.292278462281465,0.439608586509353,0.100654350916602,0.121709227308322,0.974048767307993,1.76465725527903,-180.371022961732
15,15,0.386775095089237,0.298958450668017,0.00125245108120129,0.022685868811471,0.863425401555713,1.75981744501334,-177.064381276451
16,16,0.366222805622196,0.412095052026802,0.0935792023399783,0.0128414675539568,0.950698498425498,1.6192966881895,-178.072217100553
17,17,0.307321321949586,0.526421929839329,0.0235053879992148,0.111212886754988,0.716342080507953,1.06154451436804,-178.421244995572
18,18,0.278093896327929,0.443558570975277,0.00435251807480787,0.0782239084047275,0.772380295285958,1.64775221125072,-178.417936206678
19,19,0.448384753711405,0.377234922825767,0.0376820701632651,0.0760566511230868,1.72986247910126,4.00944815391777,-178.578919015296
20,20,0.373117996372213,0.3715480837196,0.00488827767862617,0.0777353967976471,2.36766425335917,5.56919796554718,-177.930514446602
21,21,0.36744605215146,0.505244338215924,0.107497438248212,0.314504992311314,3.72128135173988,10.9251291416396,-181.961651744593
22,22,0.410472917706032,0.943665357356677,0.338891916983678,0.281615412109344,5.70142257181159,9.89001938537776,-183.916231532471
23,23,0.317530259892276,1.17906024645658,0.341786129559016,0.414392787790793,4.22793463001899,12.0194396930445,-186.461939427071
24,24,0.313739927006065,1.17822689607946,0.255300184282678,0.515682765742174,4.38297739309201,9.77244256017607,-184.817139162887
25,25,0.433464734290477,1.2117292670969,0.309213413455181,0.542715182135865,5.64603054627602,26.1789321088914,-189.631049520087
26,26,0.404978099573279,1.1163525997485,0.173570577673076,0.451620891712281,11.5436768710758,26.5753177940348,-184.316930058981
27,27,0.392840364265561,1.18590914914494,0.271261584716098,0.32059657936322,12.4507310331505,27.3492789419616,-184.875042474256
28,28,0.433088701924634,0.499819752104988,0.0674202027932233,0.165890523902972,13.783352701776,31.3277387182698,-179.334516343614
29,29,0.320558181028844,0.81282178620092,0.108136253475765,0.281255745578792,15.2703133184211,52.1927765644946,-182.329353186995
30,30,0.318109707071951,0.580138474219425,0.0623234855657505,0.362861971897952,45.9526515230244,150.336623151897,-182.257935626764
31,31,0.455067082058354,0.226004736809495,0.0257067992887659,0.243290479449833,78.554811569585,122.743998903596,-179.941518378854
32,32,0.516166012767065,0.337862813209565,0.0678762308249222,0.0880967777098734,62.3658453398388,81.630308309888,-179.653494268485
33,33,0.386956170802922,0.380900621534348,0.0270516477377704,0.000167478968858082,50.6437519092018,95.4802749750199,-177.451776254148
34,34,0.286811648463282,0.620476745413413,0.0274558962330607,0.181385948630254,48.4347767803319,95.5064422226042,-178.451023671794
35,35,0.257259872029875,0.650976292031013,0.0142919339009962,0.0848288859873961,51.7548703276369,107.059864408816,-177.845231506436
36,36,0.203575545070735,0.654168773169047,0.00336096146110789,0.0651023589584346,49.5326633908307,118.330896971593,-178.324936733533
37,37,0.287956588351767,0.586886604393774,0.0324784880171738,0.175727099603692,43.5266514220768,101.052973326806,-178.839744668931
38,38,0.318807284265188,0.663360048118553,0.0552764978708569,0.192227057393761,63.0805094742627,119.86669490638,-178.910974560451
39,39,0.326174728898085,0.505174800537978,0.0904770123284876,0.11319236914745,57.3615846483166,122.139725076037,-179.054814557972
40,40,0.433860919027792,0.619764696701094,0.119359182769232,0.0808426904817928,41.6026626108344,97.5103213610114,-180.282967777021
41,41,0.25478460622206,1.01779068804187,0.0554672428769187,0.125369819947054,40.3571491136243,110.739263205214,-180.299306486599
42,42,0.220830250802042,0.746481993725964,0.0117358256141408,0.087575303820533,51.1118367163921,111.108498800632,-177.965356718793
43,43,0.382262221898491,0.00612737534685426,0.00204478789765422,0.117282088457902,33.525509976467,95.9971888149164,-181.572757343414
44,44,0.486530595128822,0.11421297814995,0.0303962455079408,0.0014244490364628,72.995969242848,105.554510190257,-178.334657339645
45,45,0.553484225269772,0.0539573221394292,0.0125872745220281,0.0142081321996479,46.9725870479841,97.1853077536133,-177.652880524293
46,46,0.520687435243249,0.1843085159314,0.0139625833266571,0.0641961923174777,57.7282801160399,82.5487775675543,-178.272757772873
47,47,0.413495684773405,0.209184593752858,0.0132065560928572,0.0667483800166284,46.9740070508292,84.606174673061,-178.017513651836
48,48,0.422120877055962,0.300945175097009,0.166190051124756,0.0190636113480897,50.0962761307391,85.8154952656045,-179.49066158769
49,49,0.6346848072962,0.210096571044887,0.0933485051182616,0.122093627978298,53.8261443641949,76.6263242074393,-179.853309931247
50,50,0.544325419392927,0.222886406929726,0.182223539144855,0.106016590050051,51.5359333127138,128.980547506409,-180.44296105201
51,51,0.572932307016605,0.0445336351772865,0.175478869527973,0.147479083295015,70.7981245089236,238.428964617078,-182.411446928834
52,52,0.595039923400353,0.0143244458651952,0.123139679005398,0.089384956115387,77.3870198863558,116.838429914191,-180.185897354377
53,53,0.875564631882248,0.000213001788837145,0.153334916677379,0.240436618239354,113.598072836324,225.500742099855,-182.863909418443
54,54,0.558980291676698,0.396624857440878,0.0806034619508918,0.121638446214799,157.938007155889,224.136492964871,-180.568371102091
55,55,0.467552332079657,0.41145953397523,4.15534694462668e-05,0.19942965184074,171.893992136694,490.91228239158,-180.175971878793
56,56,0.564317537398338,0.391252812523032,0.257392056251423,0.160734470290477,234.926479138072,501.565751185327,-181.246265191314
57,57,0.519944516674624,0.534595035237436,0.0792484100537934,0.118202573412875,301.554262453232,840.50316301663,-182.369531699169
58,58,0.278844378220994,0.605650363625682,0.0160913272275562,0.116311173890906,564.375076944826,773.090187727368,-178.935442725199
59,59,0.268534977449108,0.620168871009805,0.154022073667222,0.0407580746128329,389.7780132941,696.719148948987,-179.173563040003
60,60,0.260730214406097,0.638667793919443,0.167054430938025,0.0292552889707307,372.108691701836,1057.40551926534,-181.907217804435
61,61,0.321660748553878,0.91107398505678,0.174041199965428,0.172476239549643,564.774714889707,1253.93304875491,-180.696827654791
62,62,0.240811433514317,0.902665684896494,0.189655605728748,0.315629144677113,971.296912353375,2054.65944088772,-181.597243839464
63,63,0.359892605063923,0.791178809505645,0.225716103293069,0.0434532004209201,1590.46632911123,3393.9848482045,-180.433562940744
64,64,0.292485309317975,0.929584536822317,0.274839737684413,0.0409924667973633,1660.30708911135,3822.42497336762,-180.957781035386
65,65,0.350654997584558,0.774931650418734,0.248549612402751,0.271200033559492,1929.46975440907,2893.79337055796,-182.054035121005
66,66,0.349670981484247,0.668955644024316,0.300510823668599,0.356039199809116,1980.22474139901,3736.53357613079,-184.642550270182
67,67,0.677177144417168,0.635957915215988,0.414246242909113,0.122948848660163,1961.15043859543,3123.38695362381,-185.068025179014
68,68,0.536546864856569,0.569731319522926,0.339369574160821,0.0204100225981433,1433.62960139605,1775.00375951027,-182.950365519234
69,69,0.453261730443684,0.580589542487614,0.544494511244775,0.0355252258690041,1287.78209999083,1505.56482683228,-184.67032782931
70,70,0.441026639507986,0.597914958687225,0.439846453131369,0.0235494682024375,554.423471801189,1030.74711062106,-182.720217977585
71,71,0.462933573737782,0.450705747731817,0.353422616789923,0.0282121153494095,1012.95459446375,2756.07758198749,-183.52850190469
72,72,0.540171844246912,0.455281162433427,0.116384395203116,0.061255565208143,1652.38899346574,2903.09545181771,-180.61546559054
73,73,0.480158508571293,0.490436463549527,0.18697267829613,0.0622727477912682,1112.68550905275,2830.39582096482,-180.628188327018
74,74,0.369536532130626,0.700544864584273,0.17839319943647,0.0281774494007717,1594.40101651118,3649.76390271139,-179.884067325347
75,75,0.167964870222578,1.11935379493782,0.262649609175041,0.0413262975024679,2326.07489015262,3520.86882434957,-181.857186774379
76,76,0.204971394545569,1.02720998415216,0.294909487039733,0.0173985893222733,1819.24338070616,3260.8176882876,-180.627626033003
77,77,0.0601640403043171,0.981065513289618,0.100579844823456,0.00973411601815302,1912.47287932165,3927.79667467936,-178.659211276566
78,78,0.204463523682408,1.05068565785678,0.0950014074875709,0.448384206196609,2259.32232455623,6254.37136485775,-181.779787627789
79,79,0.315766522607943,0.747367462322634,0.0976833393153868,0.00622263001267502,2910.34788664241,5584.49404368151,-179.190603125711
80,80,0.288158115713994,0.663344870703715,0.124719917690177,0.0688630462169929,3640.30105634768,7795.51541605967,-179.01886509168
81,81,0.309636446909036,0.630333070613659,0.0371915319275978,0.121779508166181,4418.75438411652,9681.34845900506,-178.365791170979
82,82,0.16898523580129,1.21110877582508,0.107940756615918,0.273499672913531,3679.13326478902,13950.0681914872,-183.599027233869
