"full","null"
372.452744727367,338.94580087486
426.52479154361,392.689864228178
373.628906989884,339.683030977059
393.262448862251,362.316749418828
479.611133880548,446.498849110707
435.372236558509,406.13248474787
401.361508631721,366.682792969844
417.298452002997,382.298162158372
453.777247518613,419.305146076883
407.284272524569,375.07788240629
413.679128184796,382.702685142246
416.776377075106,382.41164397284
404.828259225387,368.01763880574
430.88446006202,400.753749948513
404.829433615276,371.512147609979
408.338708169318,375.995807555855
423.529527497874,387.970096996556
407.278514395975,372.626217243201
428.643942125126,394.84605906775
384.649914953706,352.068074505408
395.030804248553,357.226808354326
394.336318643111,365.706050158079
406.372958771528,373.574482470756
413.097242147603,379.506009860681
364.906955958136,333.933853090614
420.61964222272,382.087707450758
429.124576151106,400.208965586412
423.069781193542,388.73920768119
386.364932451797,355.469574060879
419.664785406801,389.482022830106
392.565280633323,362.251981192517
410.456858698238,379.834302177247
401.982039591182,366.241851677538
403.16110425901,369.169370206405
411.494404614414,380.72497926102
393.783070702745,357.723270685033
416.228814019975,380.256701125432
417.80654309802,383.720841248727
417.509646879021,381.984573609409
416.528635861936,383.065721653715
381.099936015547,348.232360550766
401.54771398803,365.818352778024
442.461280354497,405.262204143534
442.985773371483,409.066505697539
410.152821854106,377.894400560901
431.422779034405,395.726732043814
404.947516032098,373.167027906031
404.065144117988,370.258001932944
427.216285347161,393.569844039299
401.39036364494,368.209121895945
468.033148541398,432.446178667336
387.825116368084,355.53077682517
395.262745256528,360.068040998072
457.342430827106,421.478357129764
419.987945647707,384.481319689932
396.788614319239,367.279948947241
427.386592990339,397.37152374941
401.042650696947,369.422066387422
394.949627694139,360.999254797284
417.557287787929,383.004793506495
412.475017694451,379.965317688845
384.509275761584,351.715885975227
415.778666361373,384.145736049551
394.549513875488,362.865305163493
401.386251694815,364.212978619844
440.749900450416,409.179107114577
431.962731769922,397.437744581969
381.071859572404,348.654853943672
412.890973846538,382.219105201105
403.577973143508,367.771714338523
413.383689354487,377.554740785363
401.754722986768,369.689014221956
424.119442960484,387.595227094148
408.862687349897,382.345784755242
409.429658425594,373.995860058434
379.476878124088,345.674996101067
439.676712142645,407.486806383919
436.068511948212,402.784773976385
418.085521627045,381.380187398015
432.995946326398,396.177599319102
394.284425551596,362.514126398469
406.42679853534,373.473987091909
432.486660270006,402.382334883005
409.353616224588,376.71354118467
428.632388795684,390.979852871755
403.971072790912,370.718202496706
402.433944899001,369.661796381933
378.831841778377,346.924755060063
432.871028782909,404.175308977548
418.040190152399,383.27248421448
401.354399840417,368.012395489395
406.765996502838,376.470980679429
412.440450415113,379.979413289896
431.038655991829,396.183922713448
441.574425910131,410.930321201987
410.196588172308,375.991934690833
433.168164731678,399.511659697266
420.74240096473,387.076317243728
400.619624127666,369.746218164987
425.053498391825,391.112739508311
